,gm#,date,unnamed: 2,tm,unnamed: 4,opp,w/l,r,ra,inn,w-l,rank,gb,time,d/n,attendance,cli,streak,orig. scheduled
64,62,"Wednesday, Jun 5",boxscore,ARI,,SFG,L,3,9,,29-33,4,8.5,3:30,D,24178,.84,-,
65,63,"Thursday, Jun 6",boxscore,ARI,@,SDP,W,4,3,,30-33,3,8.5,2:51,N,39963,.81,+,
66,64,"Friday, Jun 7",boxscore,ARI,@,SDP,L,3,10,,30-34,4,9.5,2:59,N,40341,.89,-,
67,65,"Saturday, Jun 8",boxscore,ARI,@,SDP,L,1,13,,30-35,4,10.5,2:49,N,42636,.79,--,
68,66,"Sunday, Jun 9",boxscore,ARI,@,SDP,W,9,3,,31-35,4,9.5,3:01,D,41979,.67,+,
69,67,"Tuesday, Jun 11",boxscore,ARI,,LAA,W,9,4,,32-35,4,9.5,3:17,N,20972,.70,++,
70,68,"Wednesday, Jun 12",boxscore,ARI,,LAA,L,3,8,,32-36,4,9.5,2:42,N,19691,.75,-,
71,69,"Thursday, Jun 13",boxscore,ARI,,LAA,W,11,1,,33-36,4,8.5,2:36,N,18185,.69,+,
72,70,"Friday, Jun 14",boxscore,ARI,,CHW,W,7,1,,34-36,3,8.5,2:19,N,23700,.76,++,
73,71,"Saturday, Jun 15",boxscore,ARI,,CHW,L,2,9,,34-37,3,8.5,2:57,N,38494,.77,-,
74,72,"Sunday, Jun 16",boxscore,ARI,,CHW,W,12,5,,35-37,3,8.5,2:49,D,37694,.73,+,
75,73,"Tuesday, Jun 18",boxscore,ARI,@,WSN,W,5,0,,36-37,2,9.0,2:19,N,28230,.84,++,
76,74,"Wednesday, Jun 19",boxscore,ARI,@,WSN,L,1,3,,36-38,2,9.0,2:15,D,20853,.88,-,
77,75,"Thursday, Jun 20",boxscore,ARI,@,WSN,W,5,2,,37-38,2,9.0,2:17,D,21158,.85,+,
78,76,"Friday, Jun 21",boxscore,ARI,@,PHI,W,5,4,,38-38,2,8.0,2:57,N,44436,.83,++,
79,77,"Saturday, Jun 22",boxscore,ARI,@,PHI,L,1,12,,38-39,3,9.0,2:23,D,44288,.95,-,
80,78,"Sunday, Jun 23",boxscore,ARI,@,PHI,L,1,4,,38-40,3,9.5,2:36,D,44079,.88,--,
81,79,"Tuesday, Jun 25",boxscore,ARI,,MIN,W,5,4,,39-40,3,10.0,2:09,N,21485,.76,+,
82,80,"Wednesday, Jun 26",boxscore,ARI,,MIN,L,3,8,,39-41,3,11.0,2:37,N,16396,.80,-,
83,81,"Thursday, Jun 27",boxscore,ARI,,MIN,L,6,13,,39-42,3,11.5,2:56,D,22671,.69,--,
84,82,"Friday, Jun 28",boxscore,ARI,,OAK,L,4,9,,39-43,4,11.5,2:57,N,25846,.65,---,
85,83,"Saturday, Jun 29",boxscore,ARI,,OAK,W,3,0,,40-43,3,11.5,2:13,D,39843,.57,+,
86,84,"Sunday, Jun 30",boxscore,ARI,,OAK,W,5,1,,41-43,3,10.5,2:21,D,26413,.54,++,
87,Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
88,85,"Tuesday, Jul 2",boxscore,ARI,@,LAD,L-wo,5,6,,41-44,4,11.5,2:44,N,52931,.76,-,
89,86,"Wednesday, Jul 3",boxscore,ARI,@,LAD,W,12,4,,42-44,3,10.5,3:23,N,47965,.69,+,
90,87,"Thursday, Jul 4",boxscore,ARI,@,LAD,W,9,3,,43-44,3,9.5,2:48,N,52320,.74,++,
91,88,"Friday, Jul 5",boxscore,ARI,@,SDP,L-wo,8,10,,43-45,4,10.5,2:58,N,47171,.88,-,
92,89,"Saturday, Jul 6",boxscore,ARI,@,SDP,W,7,5,10,44-45,3,10.5,3:33,N,44761,.77,+,
93,90,"Sunday, Jul 7",boxscore,ARI,@,SDP,W,9,1,,45-45,3,9.5,2:41,D,41112,.89,++,
94,91,"Monday, Jul 8",boxscore,ARI,,ATL,L,4,5,11,45-46,3,10.0,2:45,N,20594,.93,-,
95,92,"Tuesday, Jul 9",boxscore,ARI,,ATL,L,2,6,,45-47,3,10.0,2:46,N,21652,.86,--,
96,93,"Wednesday, Jul 10",boxscore,ARI,,ATL,W,7,5,,46-47,3,9.0,2:21,N,18020,.79,+,
97,94,"Thursday, Jul 11",boxscore,ARI,,ATL,W,1,0,,47-47,3,8.0,2:29,N,27101,.89,++,
98,95,"Friday, Jul 12",boxscore,ARI,,TOR,W-wo,5,4,,48-47,2,8.0,2:39,N,24441,.90,+++,
99,96,"Saturday, Jul 13",boxscore,ARI,,TOR,W,12,1,,49-47,2,7.0,2:45,N,40121,.95,++++,
100,97,"Sunday, Jul 14",boxscore,ARI,,TOR,L,7,8,,49-48,2,7.0,2:51,D,24732,1.02,-,
101,98,"Friday, Jul 19",preview,ARI,@,CHC,2:20 pm,2:20 pm,2:20 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
102,99,"Saturday, Jul 20",preview,ARI,@,CHC,7:15 pm,7:15 pm,7:15 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
103,Gm#,Date,,Tm,,Opp,,,,,,,,,,,D/N,cLI,Orig. Scheduled
104,100,"Sunday, Jul 21",preview,ARI,@,CHC,2:20 pm,2:20 pm,2:20 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
105,101,"Monday, Jul 22",preview,ARI,@,KCR,8:10 pm,8:10 pm,8:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
106,102,"Tuesday, Jul 23",preview,ARI,@,KCR,8:10 pm,8:10 pm,8:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
107,103,"Wednesday, Jul 24",preview,ARI,@,KCR,8:10 pm,8:10 pm,8:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
108,104,"Friday, Jul 26",preview,ARI,,PIT,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
109,105,"Saturday, Jul 27",preview,ARI,,PIT,8:10 pm,8:10 pm,8:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
110,106,"Sunday, Jul 28",preview,ARI,,PIT,4:10 pm,4:10 pm,4:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
111,107,"Monday, Jul 29",preview,ARI,,WSN,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
112,108,"Tuesday, Jul 30",preview,ARI,,WSN,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
113,109,"Wednesday, Jul 31",preview,ARI,,WSN,3:40 pm,3:40 pm,3:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
114,110,"Friday, Aug 2",preview,ARI,@,PIT,6:40 pm,6:40 pm,6:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
115,111,"Saturday, Aug 3",preview,ARI,@,PIT,6:40 pm,6:40 pm,6:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
116,112,"Sunday, Aug 4",preview,ARI,@,PIT,1:35 pm,1:35 pm,1:35 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
117,113,"Monday, Aug 5",preview,ARI,@,CLE,6:40 pm,6:40 pm,6:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
118,114,"Tuesday, Aug 6",preview,ARI,@,CLE,6:40 pm,6:40 pm,6:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
119,115,"Wednesday, Aug 7",preview,ARI,@,CLE,1:10 pm,1:10 pm,1:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
120,116,"Thursday, Aug 8",preview,ARI,,PHI,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
121,117,"Friday, Aug 9",preview,ARI,,PHI,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
122,118,"Saturday, Aug 10",preview,ARI,,PHI,8:10 pm,8:10 pm,8:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
123,119,"Sunday, Aug 11",preview,ARI,,PHI,4:10 pm,4:10 pm,4:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
124,120,"Monday, Aug 12",preview,ARI,,COL,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
125,121,"Tuesday, Aug 13",preview,ARI,,COL,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
126,122,"Wednesday, Aug 14",preview,ARI,,COL,3:40 pm,3:40 pm,3:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
127,123,"Friday, Aug 16",preview,ARI,@,TBR,6:50 pm,6:50 pm,6:50 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
128,124,"Saturday, Aug 17",preview,ARI,@,TBR,4:10 pm,4:10 pm,4:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
129,125,"Sunday, Aug 18",preview,ARI,@,TBR,1:40 pm,1:40 pm,1:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
130,126,"Monday, Aug 19",preview,ARI,@,MIA,6:40 pm,6:40 pm,6:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
131,127,"Tuesday, Aug 20",preview,ARI,@,MIA,6:40 pm,6:40 pm,6:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
132,128,"Wednesday, Aug 21",preview,ARI,@,MIA,6:40 pm,6:40 pm,6:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
133,129,"Friday, Aug 23",preview,ARI,@,BOS,7:10 pm,7:10 pm,7:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
134,130,"Saturday, Aug 24",preview,ARI,@,BOS,4:10 pm,4:10 pm,4:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
135,131,"Sunday, Aug 25",preview,ARI,@,BOS,1:35 pm,1:35 pm,1:35 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
136,132,"Tuesday, Aug 27",preview,ARI,,NYM,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
137,133,"Wednesday, Aug 28",preview,ARI,,NYM,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
138,134,"Thursday, Aug 29",preview,ARI,,NYM,3:40 pm,3:40 pm,3:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
139,135,"Friday, Aug 30",preview,ARI,,LAD,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
140,136,"Saturday, Aug 31",preview,ARI,,LAD,8:10 pm,8:10 pm,8:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
141,137,"Sunday, Sep 1",preview,ARI,,LAD,4:10 pm,4:10 pm,4:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
142,138,"Monday, Sep 2",preview,ARI,,LAD,4:10 pm,4:10 pm,4:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
143,139,"Tuesday, Sep 3",preview,ARI,@,SFG,9:45 pm,9:45 pm,9:45 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
144,140,"Wednesday, Sep 4",preview,ARI,@,SFG,9:45 pm,9:45 pm,9:45 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
145,141,"Thursday, Sep 5",preview,ARI,@,SFG,3:45 pm,3:45 pm,3:45 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
146,142,"Friday, Sep 6",preview,ARI,@,HOU,8:10 pm,8:10 pm,8:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
147,143,"Saturday, Sep 7",preview,ARI,@,HOU,4:10 pm,4:10 pm,4:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
148,144,"Sunday, Sep 8",preview,ARI,@,HOU,2:10 pm,2:10 pm,2:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
149,145,"Tuesday, Sep 10",preview,ARI,,TEX,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
150,146,"Wednesday, Sep 11",preview,ARI,,TEX,3:40 pm,3:40 pm,3:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
151,147,"Friday, Sep 13",preview,ARI,,MIL,9:40 pm,9:40 pm,9:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
152,148,"Saturday, Sep 14",preview,ARI,,MIL,8:10 pm,8:10 pm,8:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
153,149,"Sunday, Sep 15",preview,ARI,,MIL,4:10 pm,4:10 pm,4:10 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
154,Gm#,Date,,Tm,,Opp,,,,,,,,,,,D/N,cLI,Orig. Scheduled
155,150,"Monday, Sep 16",preview,ARI,@,COL,8:40 pm,8:40 pm,8:40 pm,"Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups","Game Preview, and Matchups",,,
